experiment_family,config_namespace,result_table,run_index,status
toy_sampling,configs/experiments/toy_sampling,data/processed/seed_level/toy_sampling_results.csv,data/metadata/run_index_toy_sampling.csv,released_data
chi2_demarcation,configs/experiments/chi2_demarcation,data/processed/seed_level/chi2_demarcation_results.csv,data/metadata/run_index_chi2_demarcation.csv,released_data
pf_companion_diagnostic,configs/experiments/pf_companion_diagnostic,data/processed/seed_level/pf_companion_diagnostic_results.csv,data/metadata/run_index_pf_companion_diagnostic.csv,released_data
alanine_reference,configs/experiments/alanine_reference,data/processed/seed_level/alanine_reference_results.csv,data/metadata/run_index_alanine_reference.csv,released_data
alanine_transport,configs/experiments/alanine_transport,data/processed/seed_level/alanine_transport_results.csv,data/metadata/run_index_alanine_transport.csv,released_data
free_energy,configs/experiments/free_energy,data/processed/seed_level/free_energy_estimation_results.csv,data/metadata/run_index_free_energy_estimation.csv,released_data
core_ablation,configs/experiments/core_ablation,data/processed/seed_level/component_ablation_results.csv,data/metadata/run_index_component_ablation.csv,released_data
path_step_convergence,configs/experiments/path_step_convergence,data/processed/seed_level/path_step_convergence_results.csv,data/metadata/run_index_path_step_convergence.csv,released_data
sensitivity,configs/experiments/sensitivity,data/processed/seed_level/sensitivity_results.csv,data/metadata/run_index_sensitivity.csv,released_data
relaxation_audit,configs/experiments/relaxation_audit,data/processed/seed_level/relaxation_audit_results.csv,data/metadata/run_index_relaxation_audit.csv,released_data
ood_generalization,configs/experiments/ood_generalization,data/processed/seed_level/ood_generalization_results.csv,data/metadata/run_index_ood_generalization.csv,released_data
solvent_model_sensitivity,configs/experiments/solvent_model_sensitivity,data/processed/seed_level/solvent_model_sensitivity_results.csv,data/metadata/run_index_solvent_model_sensitivity.csv,released_data
cost_benchmark,configs/experiments/cost_benchmark,data/processed/seed_level/cost_benchmark_results.csv,data/metadata/run_index_cost_benchmark.csv,released_data
appendix_regularizer,configs/experiments/appendix_regularizer,data/processed/seed_level/appendix_regularizer_results.csv,data/metadata/run_index_appendix_regularizer.csv,released_data
appendix_reinforce,configs/experiments/appendix_reinforce,data/processed/seed_level/appendix_reinforce_results.csv,data/metadata/run_index_appendix_reinforce.csv,released_data
appendix_path_space_control_cost,configs/experiments/appendix_path_space_control_cost,data/processed/seed_level/appendix_path_space_control_cost_results.csv,data/metadata/run_index_appendix_path_space_control_cost.csv,released_data
