tier,task,variant,seed,run_id,config
alanine_reference,T300_T339,long_PT_reference,R001,alanine_reference__T300_T339__long_PT_reference__R001__reference,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R002,alanine_reference__T300_T339__long_PT_reference__R002__reference,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R003,alanine_reference__T300_T339__long_PT_reference__R003__reference,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R004,alanine_reference__T300_T339__long_PT_reference__R004__reference,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R005,alanine_reference__T300_T339__long_PT_reference__R005__reference,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T339_T382,long_PT_reference,R001,alanine_reference__T339_T382__long_PT_reference__R001__reference,configs/experiments/alanine_reference/T339_T382/long_PT_reference.yaml
alanine_reference,T339_T382,long_PT_reference,R002,alanine_reference__T339_T382__long_PT_reference__R002__reference,configs/experiments/alanine_reference/T339_T382/long_PT_reference.yaml
alanine_reference,T339_T382,long_PT_reference,R003,alanine_reference__T339_T382__long_PT_reference__R003__reference,configs/experiments/alanine_reference/T339_T382/long_PT_reference.yaml
alanine_reference,T339_T382,long_PT_reference,R004,alanine_reference__T339_T382__long_PT_reference__R004__reference,configs/experiments/alanine_reference/T339_T382/long_PT_reference.yaml
alanine_reference,T339_T382,long_PT_reference,R005,alanine_reference__T339_T382__long_PT_reference__R005__reference,configs/experiments/alanine_reference/T339_T382/long_PT_reference.yaml
alanine_reference,T382_T432,long_PT_reference,R001,alanine_reference__T382_T432__long_PT_reference__R001__reference,configs/experiments/alanine_reference/T382_T432/long_PT_reference.yaml
alanine_reference,T382_T432,long_PT_reference,R002,alanine_reference__T382_T432__long_PT_reference__R002__reference,configs/experiments/alanine_reference/T382_T432/long_PT_reference.yaml
alanine_reference,T382_T432,long_PT_reference,R003,alanine_reference__T382_T432__long_PT_reference__R003__reference,configs/experiments/alanine_reference/T382_T432/long_PT_reference.yaml
alanine_reference,T382_T432,long_PT_reference,R004,alanine_reference__T382_T432__long_PT_reference__R004__reference,configs/experiments/alanine_reference/T382_T432/long_PT_reference.yaml
alanine_reference,T382_T432,long_PT_reference,R005,alanine_reference__T382_T432__long_PT_reference__R005__reference,configs/experiments/alanine_reference/T382_T432/long_PT_reference.yaml
alanine_reference,T432_T488,long_PT_reference,R001,alanine_reference__T432_T488__long_PT_reference__R001__reference,configs/experiments/alanine_reference/T432_T488/long_PT_reference.yaml
alanine_reference,T432_T488,long_PT_reference,R002,alanine_reference__T432_T488__long_PT_reference__R002__reference,configs/experiments/alanine_reference/T432_T488/long_PT_reference.yaml
alanine_reference,T432_T488,long_PT_reference,R003,alanine_reference__T432_T488__long_PT_reference__R003__reference,configs/experiments/alanine_reference/T432_T488/long_PT_reference.yaml
alanine_reference,T432_T488,long_PT_reference,R004,alanine_reference__T432_T488__long_PT_reference__R004__reference,configs/experiments/alanine_reference/T432_T488/long_PT_reference.yaml
alanine_reference,T432_T488,long_PT_reference,R005,alanine_reference__T432_T488__long_PT_reference__R005__reference,configs/experiments/alanine_reference/T432_T488/long_PT_reference.yaml
alanine_reference,T488_T550,long_PT_reference,R001,alanine_reference__T488_T550__long_PT_reference__R001__reference,configs/experiments/alanine_reference/T488_T550/long_PT_reference.yaml
alanine_reference,T488_T550,long_PT_reference,R002,alanine_reference__T488_T550__long_PT_reference__R002__reference,configs/experiments/alanine_reference/T488_T550/long_PT_reference.yaml
alanine_reference,T488_T550,long_PT_reference,R003,alanine_reference__T488_T550__long_PT_reference__R003__reference,configs/experiments/alanine_reference/T488_T550/long_PT_reference.yaml
alanine_reference,T488_T550,long_PT_reference,R004,alanine_reference__T488_T550__long_PT_reference__R004__reference,configs/experiments/alanine_reference/T488_T550/long_PT_reference.yaml
alanine_reference,T488_T550,long_PT_reference,R005,alanine_reference__T488_T550__long_PT_reference__R005__reference,configs/experiments/alanine_reference/T488_T550/long_PT_reference.yaml
