tier,task,variant,seed,run_id,config
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R002,alanine_transport__alphaR_to_beta__deterministic__R002__default,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R003,alanine_transport__alphaR_to_beta__deterministic__R003__default,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R004,alanine_transport__alphaR_to_beta__deterministic__R004__default,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R005,alanine_transport__alphaR_to_beta__deterministic__R005__default,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,fixed_noise,R001,alanine_transport__alphaR_to_beta__fixed_noise__R001__default,configs/experiments/alanine_transport/alphaR_to_beta/fixed_noise.yaml
alanine_transport,alphaR_to_beta,fixed_noise,R002,alanine_transport__alphaR_to_beta__fixed_noise__R002__default,configs/experiments/alanine_transport/alphaR_to_beta/fixed_noise.yaml
alanine_transport,alphaR_to_beta,fixed_noise,R003,alanine_transport__alphaR_to_beta__fixed_noise__R003__default,configs/experiments/alanine_transport/alphaR_to_beta/fixed_noise.yaml
alanine_transport,alphaR_to_beta,fixed_noise,R004,alanine_transport__alphaR_to_beta__fixed_noise__R004__default,configs/experiments/alanine_transport/alphaR_to_beta/fixed_noise.yaml
alanine_transport,alphaR_to_beta,fixed_noise,R005,alanine_transport__alphaR_to_beta__fixed_noise__R005__default,configs/experiments/alanine_transport/alphaR_to_beta/fixed_noise.yaml
alanine_transport,alphaR_to_beta,learned_isotropic,R001,alanine_transport__alphaR_to_beta__learned_isotropic__R001__default,configs/experiments/alanine_transport/alphaR_to_beta/learned_isotropic.yaml
alanine_transport,alphaR_to_beta,learned_isotropic,R002,alanine_transport__alphaR_to_beta__learned_isotropic__R002__default,configs/experiments/alanine_transport/alphaR_to_beta/learned_isotropic.yaml
alanine_transport,alphaR_to_beta,learned_isotropic,R003,alanine_transport__alphaR_to_beta__learned_isotropic__R003__default,configs/experiments/alanine_transport/alphaR_to_beta/learned_isotropic.yaml
alanine_transport,alphaR_to_beta,learned_isotropic,R004,alanine_transport__alphaR_to_beta__learned_isotropic__R004__default,configs/experiments/alanine_transport/alphaR_to_beta/learned_isotropic.yaml
alanine_transport,alphaR_to_beta,learned_isotropic,R005,alanine_transport__alphaR_to_beta__learned_isotropic__R005__default,configs/experiments/alanine_transport/alphaR_to_beta/learned_isotropic.yaml
alanine_transport,alphaR_to_beta,pnedb,R001,alanine_transport__alphaR_to_beta__pnedb__R001__default,configs/experiments/alanine_transport/alphaR_to_beta/pnedb.yaml
alanine_transport,alphaR_to_beta,pnedb,R002,alanine_transport__alphaR_to_beta__pnedb__R002__default,configs/experiments/alanine_transport/alphaR_to_beta/pnedb.yaml
alanine_transport,alphaR_to_beta,pnedb,R003,alanine_transport__alphaR_to_beta__pnedb__R003__default,configs/experiments/alanine_transport/alphaR_to_beta/pnedb.yaml
alanine_transport,alphaR_to_beta,pnedb,R004,alanine_transport__alphaR_to_beta__pnedb__R004__default,configs/experiments/alanine_transport/alphaR_to_beta/pnedb.yaml
alanine_transport,alphaR_to_beta,pnedb,R005,alanine_transport__alphaR_to_beta__pnedb__R005__default,configs/experiments/alanine_transport/alphaR_to_beta/pnedb.yaml
alanine_transport,alphaR_to_beta,short_remd_mbar,R001,alanine_transport__alphaR_to_beta__short_remd_mbar__R001__default,configs/experiments/alanine_transport/alphaR_to_beta/short_remd_mbar.yaml
alanine_transport,alphaR_to_beta,short_remd_mbar,R002,alanine_transport__alphaR_to_beta__short_remd_mbar__R002__default,configs/experiments/alanine_transport/alphaR_to_beta/short_remd_mbar.yaml
alanine_transport,alphaR_to_beta,short_remd_mbar,R003,alanine_transport__alphaR_to_beta__short_remd_mbar__R003__default,configs/experiments/alanine_transport/alphaR_to_beta/short_remd_mbar.yaml
alanine_transport,alphaR_to_beta,short_remd_mbar,R004,alanine_transport__alphaR_to_beta__short_remd_mbar__R004__default,configs/experiments/alanine_transport/alphaR_to_beta/short_remd_mbar.yaml
alanine_transport,alphaR_to_beta,short_remd_mbar,R005,alanine_transport__alphaR_to_beta__short_remd_mbar__R005__default,configs/experiments/alanine_transport/alphaR_to_beta/short_remd_mbar.yaml
alanine_transport,alphaR_to_beta,short_mbar,R001,alanine_transport__alphaR_to_beta__short_mbar__R001__default,configs/experiments/alanine_transport/alphaR_to_beta/short_mbar.yaml
alanine_transport,alphaR_to_beta,short_mbar,R002,alanine_transport__alphaR_to_beta__short_mbar__R002__default,configs/experiments/alanine_transport/alphaR_to_beta/short_mbar.yaml
alanine_transport,alphaR_to_beta,short_mbar,R003,alanine_transport__alphaR_to_beta__short_mbar__R003__default,configs/experiments/alanine_transport/alphaR_to_beta/short_mbar.yaml
alanine_transport,alphaR_to_beta,short_mbar,R004,alanine_transport__alphaR_to_beta__short_mbar__R004__default,configs/experiments/alanine_transport/alphaR_to_beta/short_mbar.yaml
alanine_transport,alphaR_to_beta,short_mbar,R005,alanine_transport__alphaR_to_beta__short_mbar__R005__default,configs/experiments/alanine_transport/alphaR_to_beta/short_mbar.yaml
alanine_transport,alphaR_to_beta,metadynamics_if_used,R001,alanine_transport__alphaR_to_beta__metadynamics_if_used__R001__default,configs/experiments/alanine_transport/alphaR_to_beta/metadynamics_if_used.yaml
alanine_transport,alphaR_to_beta,metadynamics_if_used,R002,alanine_transport__alphaR_to_beta__metadynamics_if_used__R002__default,configs/experiments/alanine_transport/alphaR_to_beta/metadynamics_if_used.yaml
alanine_transport,alphaR_to_beta,metadynamics_if_used,R003,alanine_transport__alphaR_to_beta__metadynamics_if_used__R003__default,configs/experiments/alanine_transport/alphaR_to_beta/metadynamics_if_used.yaml
alanine_transport,alphaR_to_beta,metadynamics_if_used,R004,alanine_transport__alphaR_to_beta__metadynamics_if_used__R004__default,configs/experiments/alanine_transport/alphaR_to_beta/metadynamics_if_used.yaml
alanine_transport,alphaR_to_beta,metadynamics_if_used,R005,alanine_transport__alphaR_to_beta__metadynamics_if_used__R005__default,configs/experiments/alanine_transport/alphaR_to_beta/metadynamics_if_used.yaml
alanine_transport,alphaR_to_alphaL,deterministic,R001,alanine_transport__alphaR_to_alphaL__deterministic__R001__default,configs/experiments/alanine_transport/alphaR_to_alphaL/deterministic.yaml
alanine_transport,alphaR_to_alphaL,deterministic,R002,alanine_transport__alphaR_to_alphaL__deterministic__R002__default,configs/experiments/alanine_transport/alphaR_to_alphaL/deterministic.yaml
alanine_transport,alphaR_to_alphaL,deterministic,R003,alanine_transport__alphaR_to_alphaL__deterministic__R003__default,configs/experiments/alanine_transport/alphaR_to_alphaL/deterministic.yaml
alanine_transport,alphaR_to_alphaL,deterministic,R004,alanine_transport__alphaR_to_alphaL__deterministic__R004__default,configs/experiments/alanine_transport/alphaR_to_alphaL/deterministic.yaml
alanine_transport,alphaR_to_alphaL,deterministic,R005,alanine_transport__alphaR_to_alphaL__deterministic__R005__default,configs/experiments/alanine_transport/alphaR_to_alphaL/deterministic.yaml
alanine_transport,alphaR_to_alphaL,fixed_noise,R001,alanine_transport__alphaR_to_alphaL__fixed_noise__R001__default,configs/experiments/alanine_transport/alphaR_to_alphaL/fixed_noise.yaml
alanine_transport,alphaR_to_alphaL,fixed_noise,R002,alanine_transport__alphaR_to_alphaL__fixed_noise__R002__default,configs/experiments/alanine_transport/alphaR_to_alphaL/fixed_noise.yaml
alanine_transport,alphaR_to_alphaL,fixed_noise,R003,alanine_transport__alphaR_to_alphaL__fixed_noise__R003__default,configs/experiments/alanine_transport/alphaR_to_alphaL/fixed_noise.yaml
alanine_transport,alphaR_to_alphaL,fixed_noise,R004,alanine_transport__alphaR_to_alphaL__fixed_noise__R004__default,configs/experiments/alanine_transport/alphaR_to_alphaL/fixed_noise.yaml
alanine_transport,alphaR_to_alphaL,fixed_noise,R005,alanine_transport__alphaR_to_alphaL__fixed_noise__R005__default,configs/experiments/alanine_transport/alphaR_to_alphaL/fixed_noise.yaml
alanine_transport,alphaR_to_alphaL,learned_isotropic,R001,alanine_transport__alphaR_to_alphaL__learned_isotropic__R001__default,configs/experiments/alanine_transport/alphaR_to_alphaL/learned_isotropic.yaml
alanine_transport,alphaR_to_alphaL,learned_isotropic,R002,alanine_transport__alphaR_to_alphaL__learned_isotropic__R002__default,configs/experiments/alanine_transport/alphaR_to_alphaL/learned_isotropic.yaml
alanine_transport,alphaR_to_alphaL,learned_isotropic,R003,alanine_transport__alphaR_to_alphaL__learned_isotropic__R003__default,configs/experiments/alanine_transport/alphaR_to_alphaL/learned_isotropic.yaml
alanine_transport,alphaR_to_alphaL,learned_isotropic,R004,alanine_transport__alphaR_to_alphaL__learned_isotropic__R004__default,configs/experiments/alanine_transport/alphaR_to_alphaL/learned_isotropic.yaml
alanine_transport,alphaR_to_alphaL,learned_isotropic,R005,alanine_transport__alphaR_to_alphaL__learned_isotropic__R005__default,configs/experiments/alanine_transport/alphaR_to_alphaL/learned_isotropic.yaml
alanine_transport,alphaR_to_alphaL,pnedb,R001,alanine_transport__alphaR_to_alphaL__pnedb__R001__default,configs/experiments/alanine_transport/alphaR_to_alphaL/pnedb.yaml
alanine_transport,alphaR_to_alphaL,pnedb,R002,alanine_transport__alphaR_to_alphaL__pnedb__R002__default,configs/experiments/alanine_transport/alphaR_to_alphaL/pnedb.yaml
alanine_transport,alphaR_to_alphaL,pnedb,R003,alanine_transport__alphaR_to_alphaL__pnedb__R003__default,configs/experiments/alanine_transport/alphaR_to_alphaL/pnedb.yaml
