tier,task,variant,seed,run_id,config
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R002,appendix_path_space_control_cost__T1_double_well__scld_smc__R002,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R003,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R003,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R003,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R003,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R003,appendix_path_space_control_cost__T1_double_well__path_integral_control__R003,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R003,appendix_path_space_control_cost__T1_double_well__scld_smc__R003,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R004,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R004,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R004,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R004,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R004,appendix_path_space_control_cost__T1_double_well__path_integral_control__R004,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R004,appendix_path_space_control_cost__T1_double_well__scld_smc__R004,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R005,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R005,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R005,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R005,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R005,appendix_path_space_control_cost__T1_double_well__path_integral_control__R005,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R005,appendix_path_space_control_cost__T1_double_well__scld_smc__R005,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
