tier,task,variant,seed,run_id,config
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R002,appendix_regularizer__T2_four_well__frobenius__R002__default,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R003,appendix_regularizer__T2_four_well__frobenius__R003__default,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R004,appendix_regularizer__T2_four_well__frobenius__R004__default,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R005,appendix_regularizer__T2_four_well__frobenius__R005__default,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,trace_effrank,R001,appendix_regularizer__T2_four_well__trace_effrank__R001__default,configs/experiments/appendix_regularizer/T2_four_well/trace_effrank.yaml
appendix_regularizer,T2_four_well,trace_effrank,R002,appendix_regularizer__T2_four_well__trace_effrank__R002__default,configs/experiments/appendix_regularizer/T2_four_well/trace_effrank.yaml
appendix_regularizer,T2_four_well,trace_effrank,R003,appendix_regularizer__T2_four_well__trace_effrank__R003__default,configs/experiments/appendix_regularizer/T2_four_well/trace_effrank.yaml
appendix_regularizer,T2_four_well,trace_effrank,R004,appendix_regularizer__T2_four_well__trace_effrank__R004__default,configs/experiments/appendix_regularizer/T2_four_well/trace_effrank.yaml
appendix_regularizer,T2_four_well,trace_effrank,R005,appendix_regularizer__T2_four_well__trace_effrank__R005__default,configs/experiments/appendix_regularizer/T2_four_well/trace_effrank.yaml
appendix_regularizer,alanine_transport,frobenius,R001,appendix_regularizer__alanine_transport__frobenius__R001__default,configs/experiments/appendix_regularizer/alanine_transport/frobenius.yaml
appendix_regularizer,alanine_transport,frobenius,R002,appendix_regularizer__alanine_transport__frobenius__R002__default,configs/experiments/appendix_regularizer/alanine_transport/frobenius.yaml
appendix_regularizer,alanine_transport,frobenius,R003,appendix_regularizer__alanine_transport__frobenius__R003__default,configs/experiments/appendix_regularizer/alanine_transport/frobenius.yaml
appendix_regularizer,alanine_transport,frobenius,R004,appendix_regularizer__alanine_transport__frobenius__R004__default,configs/experiments/appendix_regularizer/alanine_transport/frobenius.yaml
appendix_regularizer,alanine_transport,frobenius,R005,appendix_regularizer__alanine_transport__frobenius__R005__default,configs/experiments/appendix_regularizer/alanine_transport/frobenius.yaml
appendix_regularizer,alanine_transport,trace_effrank,R001,appendix_regularizer__alanine_transport__trace_effrank__R001__default,configs/experiments/appendix_regularizer/alanine_transport/trace_effrank.yaml
appendix_regularizer,alanine_transport,trace_effrank,R002,appendix_regularizer__alanine_transport__trace_effrank__R002__default,configs/experiments/appendix_regularizer/alanine_transport/trace_effrank.yaml
appendix_regularizer,alanine_transport,trace_effrank,R003,appendix_regularizer__alanine_transport__trace_effrank__R003__default,configs/experiments/appendix_regularizer/alanine_transport/trace_effrank.yaml
appendix_regularizer,alanine_transport,trace_effrank,R004,appendix_regularizer__alanine_transport__trace_effrank__R004__default,configs/experiments/appendix_regularizer/alanine_transport/trace_effrank.yaml
appendix_regularizer,alanine_transport,trace_effrank,R005,appendix_regularizer__alanine_transport__trace_effrank__R005__default,configs/experiments/appendix_regularizer/alanine_transport/trace_effrank.yaml
