tier,task,variant,seed,run_id,config
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T2_four_well,sigma_sweep,R002,chi2_demarcation__T2_four_well__sigma_sweep__R002,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T2_four_well,sigma_sweep,R003,chi2_demarcation__T2_four_well__sigma_sweep__R003,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T2_four_well,sigma_sweep,R004,chi2_demarcation__T2_four_well__sigma_sweep__R004,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T2_four_well,sigma_sweep,R005,chi2_demarcation__T2_four_well__sigma_sweep__R005,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T2_four_well,sigma_sweep,R006,chi2_demarcation__T2_four_well__sigma_sweep__R006,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T2_four_well,sigma_sweep,R007,chi2_demarcation__T2_four_well__sigma_sweep__R007,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T2_four_well,sigma_sweep,R008,chi2_demarcation__T2_four_well__sigma_sweep__R008,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T2_four_well,sigma_sweep,R009,chi2_demarcation__T2_four_well__sigma_sweep__R009,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T2_four_well,sigma_sweep,R010,chi2_demarcation__T2_four_well__sigma_sweep__R010,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R001,chi2_demarcation__T3_ring__sigma_sweep__R001,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R002,chi2_demarcation__T3_ring__sigma_sweep__R002,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R003,chi2_demarcation__T3_ring__sigma_sweep__R003,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R004,chi2_demarcation__T3_ring__sigma_sweep__R004,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R005,chi2_demarcation__T3_ring__sigma_sweep__R005,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R006,chi2_demarcation__T3_ring__sigma_sweep__R006,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R007,chi2_demarcation__T3_ring__sigma_sweep__R007,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R008,chi2_demarcation__T3_ring__sigma_sweep__R008,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R009,chi2_demarcation__T3_ring__sigma_sweep__R009,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
chi2_demarcation,T3_ring,sigma_sweep,R010,chi2_demarcation__T3_ring__sigma_sweep__R010,configs/experiments/chi2_demarcation/T3_ring/sigma_sweep.yaml
