tier,task,variant,seed,run_id,config
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R002,free_energy__alanine_T300_T339__long_mbar_reference__R002__default,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R003,free_energy__alanine_T300_T339__long_mbar_reference__R003__default,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R004,free_energy__alanine_T300_T339__long_mbar_reference__R004__default,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R005,free_energy__alanine_T300_T339__long_mbar_reference__R005__default,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,short_mbar,R001,free_energy__alanine_T300_T339__short_mbar__R001__default,configs/experiments/free_energy/alanine_T300_T339/short_mbar.yaml
free_energy,alanine_T300_T339,short_mbar,R002,free_energy__alanine_T300_T339__short_mbar__R002__default,configs/experiments/free_energy/alanine_T300_T339/short_mbar.yaml
free_energy,alanine_T300_T339,short_mbar,R003,free_energy__alanine_T300_T339__short_mbar__R003__default,configs/experiments/free_energy/alanine_T300_T339/short_mbar.yaml
free_energy,alanine_T300_T339,short_mbar,R004,free_energy__alanine_T300_T339__short_mbar__R004__default,configs/experiments/free_energy/alanine_T300_T339/short_mbar.yaml
free_energy,alanine_T300_T339,short_mbar,R005,free_energy__alanine_T300_T339__short_mbar__R005__default,configs/experiments/free_energy/alanine_T300_T339/short_mbar.yaml
free_energy,alanine_T300_T339,bar_fep_no_transport,R001,free_energy__alanine_T300_T339__bar_fep_no_transport__R001__default,configs/experiments/free_energy/alanine_T300_T339/bar_fep_no_transport.yaml
free_energy,alanine_T300_T339,bar_fep_no_transport,R002,free_energy__alanine_T300_T339__bar_fep_no_transport__R002__default,configs/experiments/free_energy/alanine_T300_T339/bar_fep_no_transport.yaml
free_energy,alanine_T300_T339,bar_fep_no_transport,R003,free_energy__alanine_T300_T339__bar_fep_no_transport__R003__default,configs/experiments/free_energy/alanine_T300_T339/bar_fep_no_transport.yaml
free_energy,alanine_T300_T339,bar_fep_no_transport,R004,free_energy__alanine_T300_T339__bar_fep_no_transport__R004__default,configs/experiments/free_energy/alanine_T300_T339/bar_fep_no_transport.yaml
free_energy,alanine_T300_T339,bar_fep_no_transport,R005,free_energy__alanine_T300_T339__bar_fep_no_transport__R005__default,configs/experiments/free_energy/alanine_T300_T339/bar_fep_no_transport.yaml
free_energy,alanine_T300_T339,deterministic_transport,R001,free_energy__alanine_T300_T339__deterministic_transport__R001__default,configs/experiments/free_energy/alanine_T300_T339/deterministic_transport.yaml
free_energy,alanine_T300_T339,deterministic_transport,R002,free_energy__alanine_T300_T339__deterministic_transport__R002__default,configs/experiments/free_energy/alanine_T300_T339/deterministic_transport.yaml
free_energy,alanine_T300_T339,deterministic_transport,R003,free_energy__alanine_T300_T339__deterministic_transport__R003__default,configs/experiments/free_energy/alanine_T300_T339/deterministic_transport.yaml
free_energy,alanine_T300_T339,deterministic_transport,R004,free_energy__alanine_T300_T339__deterministic_transport__R004__default,configs/experiments/free_energy/alanine_T300_T339/deterministic_transport.yaml
free_energy,alanine_T300_T339,deterministic_transport,R005,free_energy__alanine_T300_T339__deterministic_transport__R005__default,configs/experiments/free_energy/alanine_T300_T339/deterministic_transport.yaml
free_energy,alanine_T300_T339,fixed_noise_transport,R001,free_energy__alanine_T300_T339__fixed_noise_transport__R001__default,configs/experiments/free_energy/alanine_T300_T339/fixed_noise_transport.yaml
free_energy,alanine_T300_T339,fixed_noise_transport,R002,free_energy__alanine_T300_T339__fixed_noise_transport__R002__default,configs/experiments/free_energy/alanine_T300_T339/fixed_noise_transport.yaml
free_energy,alanine_T300_T339,fixed_noise_transport,R003,free_energy__alanine_T300_T339__fixed_noise_transport__R003__default,configs/experiments/free_energy/alanine_T300_T339/fixed_noise_transport.yaml
free_energy,alanine_T300_T339,fixed_noise_transport,R004,free_energy__alanine_T300_T339__fixed_noise_transport__R004__default,configs/experiments/free_energy/alanine_T300_T339/fixed_noise_transport.yaml
