tier,task,variant,seed,run_id,config
path_step_convergence,alphaR_to_beta,deterministic,R001,path_step_convergence__alphaR_to_beta__deterministic__R001__K25,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R001,path_step_convergence__alphaR_to_beta__deterministic__R001__K50,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R001,path_step_convergence__alphaR_to_beta__deterministic__R001__K200,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R002,path_step_convergence__alphaR_to_beta__deterministic__R002__K25,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R002,path_step_convergence__alphaR_to_beta__deterministic__R002__K50,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R002,path_step_convergence__alphaR_to_beta__deterministic__R002__K200,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R003,path_step_convergence__alphaR_to_beta__deterministic__R003__K25,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R003,path_step_convergence__alphaR_to_beta__deterministic__R003__K50,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R003,path_step_convergence__alphaR_to_beta__deterministic__R003__K200,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R004,path_step_convergence__alphaR_to_beta__deterministic__R004__K25,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R004,path_step_convergence__alphaR_to_beta__deterministic__R004__K50,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R004,path_step_convergence__alphaR_to_beta__deterministic__R004__K200,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R005,path_step_convergence__alphaR_to_beta__deterministic__R005__K25,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R005,path_step_convergence__alphaR_to_beta__deterministic__R005__K50,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,deterministic,R005,path_step_convergence__alphaR_to_beta__deterministic__R005__K200,configs/experiments/path_step_convergence/alphaR_to_beta/deterministic.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R001,path_step_convergence__alphaR_to_beta__fixed_noise__R001__K25,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R001,path_step_convergence__alphaR_to_beta__fixed_noise__R001__K50,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R001,path_step_convergence__alphaR_to_beta__fixed_noise__R001__K200,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R002,path_step_convergence__alphaR_to_beta__fixed_noise__R002__K25,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R002,path_step_convergence__alphaR_to_beta__fixed_noise__R002__K50,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R002,path_step_convergence__alphaR_to_beta__fixed_noise__R002__K200,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R003,path_step_convergence__alphaR_to_beta__fixed_noise__R003__K25,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R003,path_step_convergence__alphaR_to_beta__fixed_noise__R003__K50,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R003,path_step_convergence__alphaR_to_beta__fixed_noise__R003__K200,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R004,path_step_convergence__alphaR_to_beta__fixed_noise__R004__K25,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R004,path_step_convergence__alphaR_to_beta__fixed_noise__R004__K50,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R004,path_step_convergence__alphaR_to_beta__fixed_noise__R004__K200,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R005,path_step_convergence__alphaR_to_beta__fixed_noise__R005__K25,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R005,path_step_convergence__alphaR_to_beta__fixed_noise__R005__K50,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,fixed_noise,R005,path_step_convergence__alphaR_to_beta__fixed_noise__R005__K200,configs/experiments/path_step_convergence/alphaR_to_beta/fixed_noise.yaml
path_step_convergence,alphaR_to_beta,learned_isotropic,R001,path_step_convergence__alphaR_to_beta__learned_isotropic__R001__K25,configs/experiments/path_step_convergence/alphaR_to_beta/learned_isotropic.yaml
path_step_convergence,alphaR_to_beta,learned_isotropic,R001,path_step_convergence__alphaR_to_beta__learned_isotropic__R001__K50,configs/experiments/path_step_convergence/alphaR_to_beta/learned_isotropic.yaml
path_step_convergence,alphaR_to_beta,learned_isotropic,R001,path_step_convergence__alphaR_to_beta__learned_isotropic__R001__K200,configs/experiments/path_step_convergence/alphaR_to_beta/learned_isotropic.yaml
path_step_convergence,alphaR_to_beta,learned_isotropic,R002,path_step_convergence__alphaR_to_beta__learned_isotropic__R002__K25,configs/experiments/path_step_convergence/alphaR_to_beta/learned_isotropic.yaml
