tier,task,variant,seed,run_id,config
pf_companion_diagnostic,T1_double_well,girsanov_smc,R001,pf_companion_diagnostic__T1_double_well__girsanov_smc__R001,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml
pf_companion_diagnostic,T1_double_well,girsanov_smc,R002,pf_companion_diagnostic__T1_double_well__girsanov_smc__R002,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml
pf_companion_diagnostic,T1_double_well,girsanov_smc,R003,pf_companion_diagnostic__T1_double_well__girsanov_smc__R003,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml
pf_companion_diagnostic,T1_double_well,girsanov_smc,R004,pf_companion_diagnostic__T1_double_well__girsanov_smc__R004,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml
pf_companion_diagnostic,T1_double_well,girsanov_smc,R005,pf_companion_diagnostic__T1_double_well__girsanov_smc__R005,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml
pf_companion_diagnostic,T1_double_well,pnedb,R001,pf_companion_diagnostic__T1_double_well__pnedb__R001,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml
pf_companion_diagnostic,T1_double_well,pnedb,R002,pf_companion_diagnostic__T1_double_well__pnedb__R002,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml
pf_companion_diagnostic,T1_double_well,pnedb,R003,pf_companion_diagnostic__T1_double_well__pnedb__R003,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml
pf_companion_diagnostic,T1_double_well,pnedb,R004,pf_companion_diagnostic__T1_double_well__pnedb__R004,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml
pf_companion_diagnostic,T1_double_well,pnedb,R005,pf_companion_diagnostic__T1_double_well__pnedb__R005,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml
