tier,task,variant,seed,run_id,config
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_1p0,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_1p0,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R003,relaxation_audit__T2_four_well__pnedb__R003__tau_1p0,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R004,relaxation_audit__T2_four_well__pnedb__R004__tau_1p0,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R005,relaxation_audit__T2_four_well__pnedb__R005__tau_1p0,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_0p5,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_0p5,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R003,relaxation_audit__T2_four_well__pnedb__R003__tau_0p5,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R004,relaxation_audit__T2_four_well__pnedb__R004__tau_0p5,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R005,relaxation_audit__T2_four_well__pnedb__R005__tau_0p5,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_0p25,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_0p25,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R003,relaxation_audit__T2_four_well__pnedb__R003__tau_0p25,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R004,relaxation_audit__T2_four_well__pnedb__R004__tau_0p25,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R005,relaxation_audit__T2_four_well__pnedb__R005__tau_0p25,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_0p1,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_0p1,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R003,relaxation_audit__T2_four_well__pnedb__R003__tau_0p1,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R004,relaxation_audit__T2_four_well__pnedb__R004__tau_0p1,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R005,relaxation_audit__T2_four_well__pnedb__R005__tau_0p1,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R001,relaxation_audit__alanine_transport__pnedb__R001__tau_1p0,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R002,relaxation_audit__alanine_transport__pnedb__R002__tau_1p0,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R003,relaxation_audit__alanine_transport__pnedb__R003__tau_1p0,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R004,relaxation_audit__alanine_transport__pnedb__R004__tau_1p0,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R005,relaxation_audit__alanine_transport__pnedb__R005__tau_1p0,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R001,relaxation_audit__alanine_transport__pnedb__R001__tau_0p5,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R002,relaxation_audit__alanine_transport__pnedb__R002__tau_0p5,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R003,relaxation_audit__alanine_transport__pnedb__R003__tau_0p5,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R004,relaxation_audit__alanine_transport__pnedb__R004__tau_0p5,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
relaxation_audit,alanine_transport,pnedb,R005,relaxation_audit__alanine_transport__pnedb__R005__tau_0p5,configs/experiments/relaxation_audit/alanine_transport/pnedb.yaml
