tier,task,variant,seed,run_id,config
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R001,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R001__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R002,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R002__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R003,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R003__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R004,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R004__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R005,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R005__OBC2_vs_GBn2,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
