tier,task,variant,seed,run_id,metric,value,unit,config
alanine_reference,T300_T339,long_PT_reference,R001,alanine_reference__T300_T339__long_PT_reference__R001__reference,adjacent_exchange_acceptance,0.25303284,probability,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R001,alanine_reference__T300_T339__long_PT_reference__R001__reference,round_trip_count,19.416771,count,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R001,alanine_reference__T300_T339__long_PT_reference__R001__reference,basin_visit_count,4,count,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R001,alanine_reference__T300_T339__long_PT_reference__R001__reference,tau_corr_deltaf_ns,2.502881,ns,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R001,alanine_reference__T300_T339__long_PT_reference__R001__reference,effective_independent_blocks,39.953964,blocks,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R001,alanine_reference__T300_T339__long_PT_reference__R001__reference,retained_frames,178365,frames,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R002,alanine_reference__T300_T339__long_PT_reference__R002__reference,adjacent_exchange_acceptance,0.30177865,probability,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R002,alanine_reference__T300_T339__long_PT_reference__R002__reference,round_trip_count,17.893953,count,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R002,alanine_reference__T300_T339__long_PT_reference__R002__reference,basin_visit_count,4,count,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R002,alanine_reference__T300_T339__long_PT_reference__R002__reference,tau_corr_deltaf_ns,2.061783,ns,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R002,alanine_reference__T300_T339__long_PT_reference__R002__reference,effective_independent_blocks,48.501702,blocks,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R002,alanine_reference__T300_T339__long_PT_reference__R002__reference,retained_frames,180779,frames,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R003,alanine_reference__T300_T339__long_PT_reference__R003__reference,adjacent_exchange_acceptance,0.25633430,probability,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R003,alanine_reference__T300_T339__long_PT_reference__R003__reference,round_trip_count,15.663070,count,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R003,alanine_reference__T300_T339__long_PT_reference__R003__reference,basin_visit_count,4,count,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R003,alanine_reference__T300_T339__long_PT_reference__R003__reference,tau_corr_deltaf_ns,2.526932,ns,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R003,alanine_reference__T300_T339__long_PT_reference__R003__reference,effective_independent_blocks,39.573677,blocks,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
alanine_reference,T300_T339,long_PT_reference,R003,alanine_reference__T300_T339__long_PT_reference__R003__reference,retained_frames,182183,frames,configs/experiments/alanine_reference/T300_T339/long_PT_reference.yaml
