tier,task,variant,seed,run_id,metric,value,unit,config
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,ESS,170.4480,samples,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,ESS_N,0.17044805,fraction,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,A_swap,0.13493275,probability,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,C_mode,0.40043908,fraction,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,D_E,0.35567085,energy_mmd,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,Var_w,3.648393,dimensionless,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,R_high_E,0.21283079,fraction,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,Ubar,0.28788421,normalized,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,chi2,4.866890,dimensionless,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,traj_below_tauE_pct,78.404926,percent,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,target_energy_calls,240723,count,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,force_calls,239626,count,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
alanine_transport,alphaR_to_beta,deterministic,R001,alanine_transport__alphaR_to_beta__deterministic__R001__default,wall_clock_seconds,7693.600,seconds,configs/experiments/alanine_transport/alphaR_to_beta/deterministic.yaml
