tier,task,variant,seed,run_id,metric,value,unit,config
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,training_stability_score,0.83214159,score,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,final_Ubar,0.76518328,normalized,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,ESS_N,0.49787939,fraction,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,A_swap,0.33740764,probability,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,C_mode,0.91296408,fraction,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,D_E,0.07264121,energy_mmd,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,Var_w,0.71464090,dimensionless,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,R_high_E,0.02820506,fraction,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,grad_norm_std,0.26287410,gradient_norm_std,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,sigma_norm,1.229641,norm,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,divergence_count,0,count,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R001,appendix_regularizer__T2_four_well__frobenius__R001__default,convergence_step,4575,steps,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R002,appendix_regularizer__T2_four_well__frobenius__R002__default,training_stability_score,0.76238042,score,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R002,appendix_regularizer__T2_four_well__frobenius__R002__default,final_Ubar,0.78116225,normalized,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R002,appendix_regularizer__T2_four_well__frobenius__R002__default,ESS_N,0.56711605,fraction,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R002,appendix_regularizer__T2_four_well__frobenius__R002__default,A_swap,0.30996500,probability,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R002,appendix_regularizer__T2_four_well__frobenius__R002__default,C_mode,0.89019683,fraction,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R002,appendix_regularizer__T2_four_well__frobenius__R002__default,D_E,0.12068607,energy_mmd,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R002,appendix_regularizer__T2_four_well__frobenius__R002__default,Var_w,0.63573641,dimensionless,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
appendix_regularizer,T2_four_well,frobenius,R002,appendix_regularizer__T2_four_well__frobenius__R002__default,R_high_E,0.04291433,fraction,configs/experiments/appendix_regularizer/T2_four_well/frobenius.yaml
