tier,task,variant,seed,run_id,metric,value,unit,config
appendix_reinforce,T1_double_well,reinforce,R001,appendix_reinforce__T1_double_well__reinforce__R001__default,grad_variance,13.276653,gradient_variance,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R001,appendix_reinforce__T1_double_well__reinforce__R001__default,utility_loss_mean,-0.63797399,loss,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R001,appendix_reinforce__T1_double_well__reinforce__R001__default,utility_loss_std,0.06000000,loss,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R001,appendix_reinforce__T1_double_well__reinforce__R001__default,convergence_step,6400,steps,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R001,appendix_reinforce__T1_double_well__reinforce__R001__default,final_Ubar,0.64182528,normalized,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R001,appendix_reinforce__T1_double_well__reinforce__R001__default,oscillation_amplitude,0.16710954,normalized,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R001,appendix_reinforce__T1_double_well__reinforce__R001__default,training_stability_flag,unstable,categorical,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R002,appendix_reinforce__T1_double_well__reinforce__R002__default,grad_variance,11.698102,gradient_variance,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R002,appendix_reinforce__T1_double_well__reinforce__R002__default,utility_loss_mean,-0.68415440,loss,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R002,appendix_reinforce__T1_double_well__reinforce__R002__default,utility_loss_std,0.06000000,loss,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R002,appendix_reinforce__T1_double_well__reinforce__R002__default,convergence_step,6072,steps,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R002,appendix_reinforce__T1_double_well__reinforce__R002__default,final_Ubar,0.66686742,normalized,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R002,appendix_reinforce__T1_double_well__reinforce__R002__default,oscillation_amplitude,0.22153490,normalized,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R002,appendix_reinforce__T1_double_well__reinforce__R002__default,training_stability_flag,unstable,categorical,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R003,appendix_reinforce__T1_double_well__reinforce__R003__default,grad_variance,7.782839,gradient_variance,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R003,appendix_reinforce__T1_double_well__reinforce__R003__default,utility_loss_mean,-0.56326788,loss,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R003,appendix_reinforce__T1_double_well__reinforce__R003__default,utility_loss_std,0.06000000,loss,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R003,appendix_reinforce__T1_double_well__reinforce__R003__default,convergence_step,8365,steps,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R003,appendix_reinforce__T1_double_well__reinforce__R003__default,final_Ubar,0.57891503,normalized,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R003,appendix_reinforce__T1_double_well__reinforce__R003__default,oscillation_amplitude,0.14173224,normalized,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,reinforce,R003,appendix_reinforce__T1_double_well__reinforce__R003__default,training_stability_flag,unstable,categorical,configs/experiments/appendix_reinforce/T1_double_well/reinforce.yaml
appendix_reinforce,T1_double_well,pathwise,R001,appendix_reinforce__T1_double_well__pathwise__R001__default,grad_variance,1.072377,gradient_variance,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R001,appendix_reinforce__T1_double_well__pathwise__R001__default,utility_loss_mean,-0.78237647,loss,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R001,appendix_reinforce__T1_double_well__pathwise__R001__default,utility_loss_std,0.01800000,loss,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R001,appendix_reinforce__T1_double_well__pathwise__R001__default,convergence_step,3145,steps,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R001,appendix_reinforce__T1_double_well__pathwise__R001__default,final_Ubar,0.76758744,normalized,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R001,appendix_reinforce__T1_double_well__pathwise__R001__default,oscillation_amplitude,0.02847585,normalized,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R001,appendix_reinforce__T1_double_well__pathwise__R001__default,training_stability_flag,stable,categorical,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R002,appendix_reinforce__T1_double_well__pathwise__R002__default,grad_variance,1.231271,gradient_variance,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R002,appendix_reinforce__T1_double_well__pathwise__R002__default,utility_loss_mean,-0.82338254,loss,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R002,appendix_reinforce__T1_double_well__pathwise__R002__default,utility_loss_std,0.01800000,loss,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R002,appendix_reinforce__T1_double_well__pathwise__R002__default,convergence_step,3413,steps,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R002,appendix_reinforce__T1_double_well__pathwise__R002__default,final_Ubar,0.86165077,normalized,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R002,appendix_reinforce__T1_double_well__pathwise__R002__default,oscillation_amplitude,0.03460001,normalized,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R002,appendix_reinforce__T1_double_well__pathwise__R002__default,training_stability_flag,stable,categorical,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R003,appendix_reinforce__T1_double_well__pathwise__R003__default,grad_variance,1.283100,gradient_variance,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R003,appendix_reinforce__T1_double_well__pathwise__R003__default,utility_loss_mean,-0.81191029,loss,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R003,appendix_reinforce__T1_double_well__pathwise__R003__default,utility_loss_std,0.01800000,loss,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R003,appendix_reinforce__T1_double_well__pathwise__R003__default,convergence_step,3526,steps,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
appendix_reinforce,T1_double_well,pathwise,R003,appendix_reinforce__T1_double_well__pathwise__R003__default,final_Ubar,0.80762087,normalized,configs/experiments/appendix_reinforce/T1_double_well/pathwise.yaml
