tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.131464,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_000,0,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.128697,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_000,0,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.059949,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_000,0,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.023952,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_000,0,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,10.558816,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_000,0,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_000,0,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.011966,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_000,0,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.140361,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_001,0.006,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.132079,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_001,0.006,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.060324,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_001,0.006,,D10,FALSE,FALSE
