tier,task,variant,seed,run_id,metric,value,unit,config
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,DeltaF_reference,0.25059667,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,DeltaF_estimate,0.23437634,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,DeltaF_error,-0.01622033,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,DeltaF_MAE,0.01622033,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,DeltaF_bootstrap_ci_low,0.21477634,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,DeltaF_bootstrap_ci_high,0.25397634,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,pymbar_asymptotic_se,0.00820000,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,ESS_N,0.70320685,fraction,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,Var_w,0.42839452,dimensionless,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,overlap_min,0.24489200,fraction,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,overlap_to_prev,0.27232667,fraction,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,overlap_to_next,0.26435194,fraction,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,adjacent_ESS_N,0.59117342,fraction,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,log_weight_tail_p99,3.078009,log_weight,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,log_weight_tail_p995,3.520770,log_weight,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,uncertainty_contribution_pct,9.915678,percent,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R001,free_energy__alanine_T300_T339__long_mbar_reference__R001__default,effective_uncorrelated_samples,9010,samples,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R002,free_energy__alanine_T300_T339__long_mbar_reference__R002__default,DeltaF_reference,0.25379975,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R002,free_energy__alanine_T300_T339__long_mbar_reference__R002__default,DeltaF_estimate,0.24613851,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
free_energy,alanine_T300_T339,long_mbar_reference,R002,free_energy__alanine_T300_T339__long_mbar_reference__R002__default,DeltaF_error,-0.00766124,kcal/mol,configs/experiments/free_energy/alanine_T300_T339/long_mbar_reference.yaml
