tier,task,variant,seed,run_id,metric,value,unit,config
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_1p0,tau,1.000000,dimensionless,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_1p0,soft_utility,0.80695732,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_1p0,hard_utility,0.77092895,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_1p0,spearman_soft_hard,0.71991441,correlation,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_1p0,ranking_stable_flag,0,boolean,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_1p0,tau,1.000000,dimensionless,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_1p0,soft_utility,0.83523276,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_1p0,hard_utility,0.76194433,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_1p0,spearman_soft_hard,0.70051142,correlation,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_1p0,ranking_stable_flag,0,boolean,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R003,relaxation_audit__T2_four_well__pnedb__R003__tau_1p0,tau,1.000000,dimensionless,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R003,relaxation_audit__T2_four_well__pnedb__R003__tau_1p0,soft_utility,0.91580620,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R003,relaxation_audit__T2_four_well__pnedb__R003__tau_1p0,hard_utility,0.81692668,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R003,relaxation_audit__T2_four_well__pnedb__R003__tau_1p0,spearman_soft_hard,0.72716848,correlation,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R003,relaxation_audit__T2_four_well__pnedb__R003__tau_1p0,ranking_stable_flag,0,boolean,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R004,relaxation_audit__T2_four_well__pnedb__R004__tau_1p0,tau,1.000000,dimensionless,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R004,relaxation_audit__T2_four_well__pnedb__R004__tau_1p0,soft_utility,0.87141166,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R004,relaxation_audit__T2_four_well__pnedb__R004__tau_1p0,hard_utility,0.77876676,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R004,relaxation_audit__T2_four_well__pnedb__R004__tau_1p0,spearman_soft_hard,0.74689729,correlation,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R004,relaxation_audit__T2_four_well__pnedb__R004__tau_1p0,ranking_stable_flag,0,boolean,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R005,relaxation_audit__T2_four_well__pnedb__R005__tau_1p0,tau,1.000000,dimensionless,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R005,relaxation_audit__T2_four_well__pnedb__R005__tau_1p0,soft_utility,0.89811242,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R005,relaxation_audit__T2_four_well__pnedb__R005__tau_1p0,hard_utility,0.81343797,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R005,relaxation_audit__T2_four_well__pnedb__R005__tau_1p0,spearman_soft_hard,0.70719515,correlation,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R005,relaxation_audit__T2_four_well__pnedb__R005__tau_1p0,ranking_stable_flag,0,boolean,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_0p5,tau,0.500000,dimensionless,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_0p5,soft_utility,0.84948175,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_0p5,hard_utility,0.78980184,normalized,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_0p5,spearman_soft_hard,0.73832603,correlation,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R001,relaxation_audit__T2_four_well__pnedb__R001__tau_0p5,ranking_stable_flag,0,boolean,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
relaxation_audit,T2_four_well,pnedb,R002,relaxation_audit__T2_four_well__pnedb__R002__tau_0p5,tau,0.500000,dimensionless,configs/experiments/relaxation_audit/T2_four_well/pnedb.yaml
