tier,task,variant,seed,run_id,metric,value,unit,config
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,ESS_N,0.528763,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,A_swap,0.302136,probability,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,DeltaF_MAE,0.204815,kcal_per_mol,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,R_high_E,0.016395,fraction,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,Ubar,0.784224,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,GBn2_value,0.822162,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,OBC2_value,0.780397,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,absolute_change,-0.041765,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,relative_change_pct,-5.0799,percent,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R001,solvent_model_sensitivity__alanine_transport__pnedb__R001__OBC2_vs_GBn2,sensitivity_gate_pass,1,boolean,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,ESS_N,0.588502,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,A_swap,0.323191,probability,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,DeltaF_MAE,0.206661,kcal_per_mol,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,R_high_E,0.022778,fraction,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,Ubar,0.863786,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,GBn2_value,0.835166,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,OBC2_value,0.808997,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,absolute_change,-0.026169,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,relative_change_pct,-3.1334,percent,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R002,solvent_model_sensitivity__alanine_transport__pnedb__R002__OBC2_vs_GBn2,sensitivity_gate_pass,1,boolean,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,ESS_N,0.534589,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,A_swap,0.312931,probability,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,DeltaF_MAE,0.205812,kcal_per_mol,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,R_high_E,0.017779,fraction,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,Ubar,0.795146,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,GBn2_value,0.812370,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,OBC2_value,0.770036,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,absolute_change,-0.042334,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,relative_change_pct,-5.2112,percent,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R003,solvent_model_sensitivity__alanine_transport__pnedb__R003__OBC2_vs_GBn2,sensitivity_gate_pass,1,boolean,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,ESS_N,0.544426,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,A_swap,0.274285,probability,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,DeltaF_MAE,0.198763,kcal_per_mol,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,R_high_E,0.021248,fraction,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,Ubar,0.822751,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,GBn2_value,0.857846,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,OBC2_value,0.838618,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,absolute_change,-0.019229,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,relative_change_pct,-2.2415,percent,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R004,solvent_model_sensitivity__alanine_transport__pnedb__R004__OBC2_vs_GBn2,sensitivity_gate_pass,1,boolean,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,ESS_N,0.602918,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,A_swap,0.295107,probability,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,DeltaF_MAE,0.210977,kcal_per_mol,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,R_high_E,0.019128,fraction,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,Ubar,0.851571,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,GBn2_value,0.850241,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,OBC2_value,0.803079,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,absolute_change,-0.047162,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,relative_change_pct,-5.5469,percent,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_transport,pnedb,R005,solvent_model_sensitivity__alanine_transport__pnedb__R005__OBC2_vs_GBn2,sensitivity_gate_pass,1,boolean,configs/experiments/solvent_model_sensitivity/alanine_transport/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R001,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R001__OBC2_vs_GBn2,ESS_N,0.413094,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R001,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R001__OBC2_vs_GBn2,A_swap,0.250181,probability,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R001,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R001__OBC2_vs_GBn2,DeltaF_MAE,0.219954,kcal_per_mol,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R001,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R001__OBC2_vs_GBn2,R_high_E,0.018744,fraction,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R001,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R001__OBC2_vs_GBn2,Ubar,0.744015,dimensionless,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
solvent_model_sensitivity,alanine_temperature_fe,pnedb,R001,solvent_model_sensitivity__alanine_temperature_fe__pnedb__R001__OBC2_vs_GBn2,GBn2_value,0.775832,normalized_utility,configs/experiments/solvent_model_sensitivity/alanine_temperature_fe/pnedb.yaml
