tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt,metric_scope
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,A_swap,0.10385611,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,C_mode,0.50858553,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,D_E,0.32321944,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,ESS,144.12444,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,ESS_N,0.14412444,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,R_high_E,0.073859261,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,Ubar,0.30878912,normalized_unit,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,Var_w,7.7665711,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,chi2,5.9733149,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,ess_chi2_predicted,0.14340382,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R001,toy_sampling__T1_double_well__deterministic__R001,ess_chi2_relative_error_pct,0.5,percent,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,A_swap,0.096714226,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,C_mode,0.44708054,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,D_E,0.3039904,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,ESS,122.92361,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,ESS_N,0.12292361,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,R_high_E,0.070780698,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,Ubar,0.26907797,normalized_unit,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,Var_w,8.127208,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,chi2,7.4656272,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,ess_chi2_predicted,0.11812474,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R002,toy_sampling__T1_double_well__deterministic__R002,ess_chi2_relative_error_pct,3.9039491,percent,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,A_swap,0.10106514,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,C_mode,0.50633803,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,D_E,0.27729481,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,ESS,149.33337,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,ESS_N,0.14933337,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,R_high_E,0.069037722,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,Ubar,0.2740532,normalized_unit,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,Var_w,7.6630837,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,chi2,5.4407695,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,ess_chi2_predicted,0.15526095,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R003,toy_sampling__T1_double_well__deterministic__R003,ess_chi2_relative_error_pct,3.9693602,percent,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,A_swap,0.11178588,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,C_mode,0.47249483,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,D_E,0.3167338,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,ESS,186.06778,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
