panel,observable,group,group_label,bin_left,bin_right,bin_center,count,density,total_count,in_range_count
A,chi2_contribution,all,all checkpoints,0.0,0.05357142857142857,0.026785714285714284,0,0.0,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.05357142857142857,0.10714285714285714,0.08035714285714285,1,9.240924092409242e-06,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.10714285714285714,0.1607142857142857,0.13392857142857142,123,0.0011366336633663366,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.1607142857142857,0.21428571428571427,0.1875,984,0.009093069306930693,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.21428571428571427,0.26785714285714285,0.24107142857142855,3746,0.03461650165016502,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.26785714285714285,0.3214285714285714,0.2946428571428571,9132,0.08438811881188119,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.3214285714285714,0.375,0.3482142857142857,17022,0.1572990099009901,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.375,0.42857142857142855,0.4017857142857143,25976,0.24004224422442244,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.42857142857142855,0.4821428571428571,0.4553571428571428,35531,0.32833927392739276,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.4821428571428571,0.5357142857142857,0.5089285714285714,43586,0.4027749174917492,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.5357142857142857,0.5892857142857143,0.5625,50994,0.4712316831683169,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.5892857142857143,0.6428571428571428,0.6160714285714286,55647,0.514229702970297,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.6428571428571428,0.6964285714285714,0.6696428571428571,59304,0.5480237623762376,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.6964285714285714,0.75,0.7232142857142857,60668,0.5606283828382839,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.75,0.8035714285714285,0.7767857142857142,61087,0.5645003300330034,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.8035714285714285,0.8571428571428571,0.8303571428571428,59757,0.552209900990099,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.8571428571428571,0.9107142857142857,0.8839285714285714,58297,0.5387181518151816,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.9107142857142857,0.9642857142857142,0.9375,56129,0.5186838283828383,2020000,1812389
A,chi2_contribution,all,all checkpoints,0.9642857142857142,1.0178571428571428,0.9910714285714285,53567,0.4950085808580858,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.0178571428571428,1.0714285714285714,1.0446428571428572,50472,0.4664079207920792,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.0714285714285714,1.125,1.0982142857142856,48039,0.44392475247524754,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.125,1.1785714285714286,1.1517857142857144,45242,0.4180778877887789,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.1785714285714286,1.232142857142857,1.2053571428571428,42533,0.39304422442244225,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.232142857142857,1.2857142857142856,1.2589285714285712,40293,0.37234455445544556,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.2857142857142856,1.3392857142857142,1.3125,37416,0.3457584158415842,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.3392857142857142,1.3928571428571428,1.3660714285714284,35119,0.32453201320132014,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.3928571428571428,1.4464285714285714,1.4196428571428572,33052,0.30543102310231024,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.4464285714285714,1.5,1.4732142857142856,30863,0.2852026402640264,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.5,1.5535714285714284,1.5267857142857142,29198,0.269816501650165,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.5535714285714284,1.607142857142857,1.5803571428571428,27194,0.25129768976897693,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.607142857142857,1.6607142857142856,1.6339285714285712,25620,0.23675247524752477,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.6607142857142856,1.7142857142857142,1.6875,24759,0.22879603960396042,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.7142857142857142,1.7678571428571428,1.7410714285714284,23229,0.21465742574257426,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.7678571428571428,1.8214285714285714,1.7946428571428572,22250,0.20561056105610562,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.8214285714285714,1.875,1.8482142857142856,21166,0.195593399339934,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.875,1.9285714285714284,1.9017857142857142,20043,0.18521584158415844,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.9285714285714284,1.982142857142857,1.9553571428571428,19411,0.1793755775577558,2020000,1812389
A,chi2_contribution,all,all checkpoints,1.982142857142857,2.0357142857142856,2.008928571428571,18541,0.17133597359735975,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.0357142857142856,2.089285714285714,2.0625,17733,0.16386930693069307,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.089285714285714,2.142857142857143,2.1160714285714284,16924,0.156393399339934,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.142857142857143,2.196428571428571,2.1696428571428568,16249,0.15015577557755777,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.196428571428571,2.25,2.2232142857142856,15544,0.14364092409240925,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.25,2.3035714285714284,2.2767857142857144,15048,0.13905742574257426,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.3035714285714284,2.357142857142857,2.330357142857143,14626,0.13515775577557756,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.357142857142857,2.4107142857142856,2.383928571428571,14031,0.12965940594059405,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.4107142857142856,2.464285714285714,2.4375,13816,0.12767260726072607,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.464285714285714,2.517857142857143,2.4910714285714284,13323,0.12311683168316832,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.517857142857143,2.571428571428571,2.5446428571428568,13130,0.12133333333333333,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.571428571428571,2.625,2.5982142857142856,12573,0.11618613861386139,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.625,2.6785714285714284,2.6517857142857144,12027,0.11114059405940595,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.6785714285714284,2.732142857142857,2.705357142857143,11862,0.10961584158415842,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.732142857142857,2.7857142857142856,2.758928571428571,11475,0.10603960396039605,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.7857142857142856,2.839285714285714,2.8125,11147,0.10300858085808581,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.839285714285714,2.892857142857143,2.8660714285714284,10736,0.09921056105610561,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.892857142857143,2.946428571428571,2.9196428571428568,10529,0.0972976897689769,2020000,1812389
A,chi2_contribution,all,all checkpoints,2.946428571428571,3.0,2.9732142857142856,10126,0.09357359735973597,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.0,3.0535714285714284,3.0267857142857144,9943,0.09188250825082508,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.0535714285714284,3.1071428571428568,3.0803571428571423,9720,0.08982178217821783,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.1071428571428568,3.1607142857142856,3.133928571428571,9585,0.08857425742574258,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.1607142857142856,3.214285714285714,3.1875,9232,0.08531221122112212,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.214285714285714,3.267857142857143,3.2410714285714284,9197,0.08498877887788779,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.267857142857143,3.321428571428571,3.2946428571428568,8839,0.08168052805280529,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.321428571428571,3.375,3.3482142857142856,8595,0.07942574257425743,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.375,3.4285714285714284,3.4017857142857144,8394,0.07756831683168317,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.4285714285714284,3.4821428571428568,3.4553571428571423,8324,0.07692145214521452,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.4821428571428568,3.5357142857142856,3.508928571428571,8031,0.07421386138613861,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.5357142857142856,3.589285714285714,3.5625,7845,0.0724950495049505,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.589285714285714,3.642857142857143,3.6160714285714284,7789,0.07197755775577558,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.642857142857143,3.696428571428571,3.6696428571428568,7493,0.06924224422442245,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.696428571428571,3.75,3.7232142857142856,7382,0.06821650165016502,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.75,3.8035714285714284,3.7767857142857144,7185,0.0663960396039604,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.8035714285714284,3.8571428571428568,3.8303571428571423,7082,0.06544422442244224,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.8571428571428568,3.9107142857142856,3.883928571428571,6952,0.06424290429042905,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.9107142857142856,3.964285714285714,3.9375,6676,0.0616924092409241,2020000,1812389
A,chi2_contribution,all,all checkpoints,3.964285714285714,4.017857142857142,3.991071428571428,6689,0.061812541254125414,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.017857142857142,4.071428571428571,4.044642857142857,6433,0.05944686468646865,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.071428571428571,4.125,4.098214285714286,6372,0.058883168316831686,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.125,4.178571428571428,4.1517857142857135,6225,0.05752475247524753,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.178571428571428,4.232142857142857,4.205357142857142,6101,0.05637887788778878,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.232142857142857,4.285714285714286,4.258928571428571,5976,0.05522376237623763,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.285714285714286,4.339285714285714,4.3125,5863,0.05417953795379538,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.339285714285714,4.392857142857142,4.366071428571429,5616,0.0518970297029703,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.392857142857142,4.446428571428571,4.419642857142857,5595,0.05170297029702971,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.446428571428571,4.5,4.473214285714286,5521,0.05101914191419142,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.5,4.553571428571428,4.5267857142857135,5386,0.04977161716171617,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.553571428571428,4.607142857142857,4.580357142857142,5188,0.04794191419141915,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.607142857142857,4.660714285714286,4.633928571428571,5180,0.04786798679867987,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.660714285714286,4.714285714285714,4.6875,5069,0.046842244224422444,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.714285714285714,4.767857142857142,4.741071428571429,4972,0.045945874587458746,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.767857142857142,4.821428571428571,4.794642857142857,4881,0.045104950495049506,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.821428571428571,4.875,4.848214285714286,4658,0.04304422442244225,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.875,4.928571428571428,4.9017857142857135,4610,0.0426006600660066,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.928571428571428,4.982142857142857,4.955357142857142,4592,0.042434323432343234,2020000,1812389
A,chi2_contribution,all,all checkpoints,4.982142857142857,5.035714285714286,5.008928571428571,4497,0.04155643564356436,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.035714285714286,5.089285714285714,5.0625,4357,0.040262706270627065,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.089285714285714,5.142857142857142,5.116071428571429,4281,0.039560396039603964,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.142857142857142,5.196428571428571,5.169642857142857,4196,0.038774917491749175,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.196428571428571,5.25,5.223214285714286,4191,0.03872871287128713,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.25,5.303571428571428,5.2767857142857135,4155,0.038396039603960395,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.303571428571428,5.357142857142857,5.330357142857142,4108,0.037961716171617164,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.357142857142857,5.410714285714286,5.383928571428571,3839,0.035475907590759075,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.410714285714286,5.464285714285714,5.4375,3874,0.0357993399339934,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.464285714285714,5.517857142857142,5.491071428571429,3760,0.034745874587458744,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.517857142857142,5.571428571428571,5.544642857142857,3807,0.03518019801980198,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.571428571428571,5.625,5.598214285714286,3542,0.032731353135313536,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.625,5.678571428571428,5.6517857142857135,3534,0.032657425742574256,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.678571428571428,5.732142857142857,5.705357142857142,3581,0.033091749174917494,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.732142857142857,5.785714285714286,5.758928571428571,3475,0.032112211221122115,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.785714285714286,5.8392857142857135,5.8125,3306,0.030550495049504953,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.8392857142857135,5.892857142857142,5.866071428571428,3362,0.031067986798679868,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.892857142857142,5.946428571428571,5.919642857142857,3256,0.03008844884488449,2020000,1812389
A,chi2_contribution,all,all checkpoints,5.946428571428571,6.0,5.973214285714286,3187,0.029450825082508254,2020000,1812389
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.0,0.05357142857142857,0.026785714285714284,0,0.0,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.05357142857142857,0.10714285714285714,0.08035714285714285,1,9.333333333333334e-05,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.10714285714285714,0.1607142857142857,0.13392857142857142,31,0.0028933333333333333,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.1607142857142857,0.21428571428571427,0.1875,255,0.0238,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.21428571428571427,0.26785714285714285,0.24107142857142855,850,0.07933333333333334,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.26785714285714285,0.3214285714285714,0.2946428571428571,2107,0.19665333333333335,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.3214285714285714,0.375,0.3482142857142857,3945,0.3682,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.375,0.42857142857142855,0.4017857142857143,5898,0.5504800000000001,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.42857142857142855,0.4821428571428571,0.4553571428571428,7859,0.7335066666666668,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.4821428571428571,0.5357142857142857,0.5089285714285714,9551,0.8914266666666667,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.5357142857142857,0.5892857142857143,0.5625,10852,1.0128533333333334,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.5892857142857143,0.6428571428571428,0.6160714285714286,11792,1.1005866666666668,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.6428571428571428,0.6964285714285714,0.6696428571428571,12022,1.1220533333333333,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.6964285714285714,0.75,0.7232142857142857,11842,1.1052533333333334,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.75,0.8035714285714285,0.7767857142857142,11677,1.0898533333333333,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.8035714285714285,0.8571428571428571,0.8303571428571428,11213,1.0465466666666667,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.8571428571428571,0.9107142857142857,0.8839285714285714,10607,0.9899866666666667,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.9107142857142857,0.9642857142857142,0.9375,9640,0.8997333333333334,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,0.9642857142857142,1.0178571428571428,0.9910714285714285,8844,0.8254400000000001,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.0178571428571428,1.0714285714285714,1.0446428571428572,8106,0.75656,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.0714285714285714,1.125,1.0982142857142856,7290,0.6804,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.125,1.1785714285714286,1.1517857142857144,6617,0.6175866666666667,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.1785714285714286,1.232142857142857,1.2053571428571428,5938,0.5542133333333333,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.232142857142857,1.2857142857142856,1.2589285714285712,5374,0.5015733333333333,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.2857142857142856,1.3392857142857142,1.3125,4615,0.43073333333333336,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.3392857142857142,1.3928571428571428,1.3660714285714284,3999,0.37324,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.3928571428571428,1.4464285714285714,1.4196428571428572,3507,0.32732,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.4464285714285714,1.5,1.4732142857142856,3189,0.29764,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.5,1.5535714285714284,1.5267857142857142,2782,0.25965333333333335,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.5535714285714284,1.607142857142857,1.5803571428571428,2376,0.22176,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.607142857142857,1.6607142857142856,1.6339285714285712,2123,0.19814666666666667,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.6607142857142856,1.7142857142857142,1.6875,1923,0.17948,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.7142857142857142,1.7678571428571428,1.7410714285714284,1627,0.15185333333333334,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.7678571428571428,1.8214285714285714,1.7946428571428572,1472,0.13738666666666668,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.8214285714285714,1.875,1.8482142857142856,1272,0.11872,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.875,1.9285714285714284,1.9017857142857142,1072,0.10005333333333334,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.9285714285714284,1.982142857142857,1.9553571428571428,927,0.08652,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,1.982142857142857,2.0357142857142856,2.008928571428571,826,0.07709333333333333,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,2.0357142857142856,2.089285714285714,2.0625,756,0.07056,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,2.089285714285714,2.142857142857143,2.1160714285714284,671,0.06262666666666666,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,2.142857142857143,2.196428571428571,2.1696428571428568,562,0.05245333333333334,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,2.196428571428571,2.25,2.2232142857142856,439,0.040973333333333334,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,2.25,2.3035714285714284,2.2767857142857144,426,0.039760000000000004,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,2.3035714285714284,2.357142857142857,2.330357142857143,387,0.03612,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,2.357142857142857,2.4107142857142856,2.383928571428571,330,0.0308,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,2.4107142857142856,2.464285714285714,2.4375,276,0.02576,200000,200000
A,chi2_contribution,decile,same $\chi^2$ decile D02,2.464285714285714,2.517857142857143,2.4910714285714284,273,0.025480000000000003,200000,200000
