tier,task,variant,seed,run_id,metric,value,unit,config
core_ablation,T1_double_well,F0,R001,core_ablation__T1_double_well__F0__R001__default,A_swap,0.09754288,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R001,core_ablation__T1_double_well__F0__R001__default,R_high_E,0.19638582,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R001,core_ablation__T1_double_well__F0__R001__default,Ubar,0.2665976,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R002,core_ablation__T1_double_well__F0__R002__default,A_swap,0.08409687,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R002,core_ablation__T1_double_well__F0__R002__default,R_high_E,0.21471242,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R002,core_ablation__T1_double_well__F0__R002__default,Ubar,0.27230336,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R003,core_ablation__T1_double_well__F0__R003__default,A_swap,0.07831088,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R003,core_ablation__T1_double_well__F0__R003__default,R_high_E,0.19401899,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R003,core_ablation__T1_double_well__F0__R003__default,Ubar,0.27488376,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R004,core_ablation__T1_double_well__F0__R004__default,A_swap,0.07988051,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R004,core_ablation__T1_double_well__F0__R004__default,R_high_E,0.21074646,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R004,core_ablation__T1_double_well__F0__R004__default,Ubar,0.25804819,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R005,core_ablation__T1_double_well__F0__R005__default,A_swap,0.08911159,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R005,core_ablation__T1_double_well__F0__R005__default,R_high_E,0.20370626,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R005,core_ablation__T1_double_well__F0__R005__default,Ubar,0.28711281,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R006,core_ablation__T1_double_well__F0__R006__default,A_swap,0.09666247,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R006,core_ablation__T1_double_well__F0__R006__default,R_high_E,0.20981313,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R006,core_ablation__T1_double_well__F0__R006__default,Ubar,0.25521419,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R007,core_ablation__T1_double_well__F0__R007__default,A_swap,0.06189752,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R007,core_ablation__T1_double_well__F0__R007__default,R_high_E,0.21092786,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R007,core_ablation__T1_double_well__F0__R007__default,Ubar,0.24811265,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R008,core_ablation__T1_double_well__F0__R008__default,A_swap,0.08508377,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R008,core_ablation__T1_double_well__F0__R008__default,R_high_E,0.19823263,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R008,core_ablation__T1_double_well__F0__R008__default,Ubar,0.29887677,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R009,core_ablation__T1_double_well__F0__R009__default,A_swap,0.08019681,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R009,core_ablation__T1_double_well__F0__R009__default,R_high_E,0.18921141,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R009,core_ablation__T1_double_well__F0__R009__default,Ubar,0.31390215,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R010,core_ablation__T1_double_well__F0__R010__default,A_swap,0.10258342,probability,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R010,core_ablation__T1_double_well__F0__R010__default,R_high_E,0.19984363,fraction,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,F0,R010,core_ablation__T1_double_well__F0__R010__default,Ubar,0.31012974,normalized,configs/experiments/core_ablation/T1_double_well/F0.yaml
core_ablation,T1_double_well,A2,R001,core_ablation__T1_double_well__A2__R001__default,A_swap,0.17185865,probability,configs/experiments/core_ablation/T1_double_well/A2.yaml
core_ablation,T1_double_well,A2,R001,core_ablation__T1_double_well__A2__R001__default,R_high_E,0.13314321,fraction,configs/experiments/core_ablation/T1_double_well/A2.yaml
core_ablation,T1_double_well,A2,R001,core_ablation__T1_double_well__A2__R001__default,Ubar,0.50021701,normalized,configs/experiments/core_ablation/T1_double_well/A2.yaml
core_ablation,T1_double_well,A2,R002,core_ablation__T1_double_well__A2__R002__default,A_swap,0.18694446,probability,configs/experiments/core_ablation/T1_double_well/A2.yaml
core_ablation,T1_double_well,A2,R002,core_ablation__T1_double_well__A2__R002__default,R_high_E,0.15139931,fraction,configs/experiments/core_ablation/T1_double_well/A2.yaml
