panel,panel_title,metric,metric_label,method,method_label,source_variant,value,source_file,tier,task,seed,run_id,unit,config
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.14412444,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R001,toy_sampling__T1_double_well__deterministic__R001,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.12292361,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R002,toy_sampling__T1_double_well__deterministic__R002,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.14933337,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R003,toy_sampling__T1_double_well__deterministic__R003,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.18606778,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R004,toy_sampling__T1_double_well__deterministic__R004,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.13083914,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R005,toy_sampling__T1_double_well__deterministic__R005,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.12604886,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R006,toy_sampling__T1_double_well__deterministic__R006,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.12151415,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R007,toy_sampling__T1_double_well__deterministic__R007,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.11572675,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R008,toy_sampling__T1_double_well__deterministic__R008,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.11709909,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R009,toy_sampling__T1_double_well__deterministic__R009,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.12902527,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R010,toy_sampling__T1_double_well__deterministic__R010,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.23904802,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R001,toy_sampling__T1_double_well__fixed_noise__R001,fraction,configs/experiments/toy_sampling/T1_double_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.23418983,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R002,toy_sampling__T1_double_well__fixed_noise__R002,fraction,configs/experiments/toy_sampling/T1_double_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.24243638,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R003,toy_sampling__T1_double_well__fixed_noise__R003,fraction,configs/experiments/toy_sampling/T1_double_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.22532613,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R004,toy_sampling__T1_double_well__fixed_noise__R004,fraction,configs/experiments/toy_sampling/T1_double_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.25637779,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R005,toy_sampling__T1_double_well__fixed_noise__R005,fraction,configs/experiments/toy_sampling/T1_double_well/fixed_noise.yaml
