task,task_label,variant,method_label,metric,count,mean,std,ci95_low,ci95_high,min,max
T1_double_well,Double,F0,F0 det.,A_swap,20,0.11433411600000001,0.032391411365410364,0.09917446883671438,0.12949376316328565,0.06189752,0.1777506
T1_double_well,Double,F0,F0 det.,R_high_E,20,0.13695483049999999,0.06806051763149426,0.10510152774006443,0.16880813325993554,0.0588247,0.21471242
T1_double_well,Double,F0,F0 det.,Ubar,20,0.316775861,0.045969123357860985,0.2952616490180271,0.3382900729819729,0.24811265,0.3979227
T1_double_well,Double,A2,A2 fixed,A_swap,20,0.2166613635,0.031176890337445237,0.20207012967470198,0.23125259732529804,0.17185865,0.2607334
T1_double_well,Double,A2,A2 fixed,R_high_E,20,0.09427522099999999,0.05431013262922664,0.06885729651494593,0.11969314548505405,0.0152735,0.16093476
T1_double_well,Double,A2,A2 fixed,Ubar,20,0.557835605,0.02968712035560817,0.5439416049884536,0.5717296050115463,0.50021701,0.6111201
T1_double_well,Double,A3,A3 iso.,A_swap,20,0.2767735445,0.04386673046996555,0.25624328267751695,0.2973038063224831,0.18927379,0.3397853
T1_double_well,Double,A3,A3 iso.,R_high_E,20,0.09134429250000001,0.02665858505656467,0.07886769063875723,0.10382089436124278,0.0471796,0.13537189
T1_double_well,Double,A3,A3 iso.,Ubar,20,0.6743486145,0.031068350576923042,0.6598081788462957,0.6888890501537044,0.61447384,0.7324818
T1_double_well,Double,A4,A4 NoiSDE,A_swap,20,0.358049665,0.06094169870127235,0.32952807205610307,0.38657125794389696,0.27605065,0.433073
T1_double_well,Double,A4,A4 NoiSDE,R_high_E,20,0.04800893,0.01767799986251391,0.03973537138765431,0.05628248861234569,0.0242634,0.08440169
T1_double_well,Double,A4,A4 NoiSDE,Ubar,20,0.8273834885,0.02325712101810612,0.816498820811675,0.838268156188325,0.7886571,0.8621142
T1_double_well,Double,A5,A5 over-noise,A_swap,20,0.040772869499999996,0.014553125647054395,0.03396179703873947,0.04758394196126052,0.01289021,0.06183617
T1_double_well,Double,A5,A5 over-noise,R_high_E,20,0.36001622,0.04124327805447561,0.3407137717025233,0.3793186682974767,0.26671096,0.4289953
T1_double_well,Double,A5,A5 over-noise,Ubar,20,0.25966061900000004,0.09714347383717935,0.21419607375452454,0.30512516424547553,0.15065108,0.3742658
T1_double_well,Double,B1,B1 learned,A_swap,20,0.28301011649999996,0.04358390644819993,0.2626122203941848,0.3034080126058151,0.22341897,0.3503222
T1_double_well,Double,B1,B1 learned,R_high_E,20,0.07941606450000001,0.03207019978244953,0.06440674898504899,0.09442538001495103,0.0346039,0.13746833
T1_double_well,Double,B1,B1 learned,Ubar,20,0.697346018,0.029274976031723632,0.6836449074695558,0.7110471285304442,0.64088587,0.7422575
T2_four_well,Four,F0,F0 det.,A_swap,20,0.0896773355,0.014101204957350079,0.08307776843208031,0.09627690256791968,0.06686331,0.1185313
T2_four_well,Four,F0,F0 det.,R_high_E,20,0.1516027335,0.08043574780345113,0.11395764473682629,0.18924782226317372,0.0627932,0.25140234
