panel,metric,method,method_label,count,mean,median,std,min,max,q1,q3
A,ESS_N,deterministic,Deterministic,30,0.12366541683333333,0.125697905,0.02847903790211935,0.059908561,0.18606778,0.113878855,0.14462995499999998
A,ESS_N,fixed_noise,Fixed noise,30,0.23725256066666667,0.239256295,0.026112692495044734,0.19333487,0.28594159,0.215395705,0.255659075
A,ESS_N,noisde,NoiSDE,30,0.46688086433333337,0.469641195,0.03586018912907551,0.39908933,0.5295361,0.432462135,0.4957156925
A,C_mode,deterministic,Deterministic,30,0.509104508,0.507556345,0.037554397112325076,0.44405511,0.57212388,0.4749114625,0.54262114
A,C_mode,fixed_noise,Fixed noise,30,0.7241144423333333,0.7236559549999999,0.048434797205411065,0.62034852,0.81432591,0.7024741674999999,0.7487562400000001
A,C_mode,noisde,NoiSDE,30,0.955798587,0.957450705,0.02347037489579004,0.91430543,1.0,0.9408515925000001,0.9736435
B,A_swap,deterministic,Deterministic,30,0.04557923333333334,0.045792,0.011930055009507922,0.018844,0.067732,0.039849,0.0526
B,A_swap,fixed_noise,Fixed noise,30,0.14182223333333333,0.142096,0.011757358000442716,0.120539,0.165099,0.13160375000000002,0.14938475
B,A_swap,noisde,NoiSDE,30,0.3045140333333333,0.3052155,0.012091491030624723,0.275546,0.325751,0.297336,0.31394075
B,A_swap,short_remd_mbar,Short REMD/MBAR,30,0.22242409999999999,0.22036050000000001,0.014989845566019138,0.19882,0.258944,0.212789,0.2304465
B,R_high_E,deterministic,Deterministic,30,0.0515436,0.0520525,0.0067972491068585715,0.032172,0.062751,0.047946749999999996,0.0561055
B,R_high_E,fixed_noise,Fixed noise,30,0.1771417,0.176743,0.008168961801042804,0.164255,0.196076,0.17171925,0.18055625
B,R_high_E,noisde,NoiSDE,30,0.0389749,0.0388735,0.006850782675396822,0.025906,0.053932,0.03502925,0.04190175
B,R_high_E,short_remd_mbar,Short REMD/MBAR,30,0.0656662,0.06418750000000001,0.010665170391318746,0.046217,0.089855,0.058089,0.0715365
C,DeltaF_MAE,short_remd_mbar,Short REMD/MBAR,80,0.423507354,0.411947335,0.09827854638359199,0.21779323,0.76312157,0.3705817125,0.489016635
C,DeltaF_MAE,deterministic,Deterministic,80,0.55758768875,0.5549098800000001,0.12276653989342033,0.26806687,0.88634642,0.487098595,0.6422631025000001
C,DeltaF_MAE,fixed_noise,Fixed noise,80,0.5027201691250001,0.49059102,0.09971239734861444,0.29061415,0.75723987,0.441814025,0.5695455825
C,DeltaF_MAE,noisde,NoiSDE,80,0.146768573875,0.146795495,0.035522149287802604,0.07184709,0.23663712,0.1257535625,0.16568997000000002
C,CV2_w,short_remd_mbar,Short REMD/MBAR,80,1.7511093,1.7293595000000002,0.21283170009285557,1.355423,2.244871,1.600371,1.88943725
C,CV2_w,deterministic,Deterministic,80,2.7142869125,2.5942404999999997,0.4355914414164324,1.744842,4.333307,2.46471025,2.9626685
C,CV2_w,fixed_noise,Fixed noise,80,2.043020475,2.0514535,0.25627422212514367,1.530995,2.86752,1.87493775,2.17518625
C,CV2_w,noisde,NoiSDE,80,0.740435455375,0.75019602,0.10007233469778509,0.50417238,1.017282,0.6662688050000001,0.801342315
